Blog	following	worth	personal	earlier	act	anyway	loud	starting	bill	apart	woman	son	history	shot	feet	main	musical	missing	performance	however	friday	pick	mostly	guys	opening	recently	dog	phone	tom	present	punk	title	quality	yesterday	film	view	energy	saying	turns	caught	evening	stuck	type	y	means	london	social	river	singing	due	beyond	possible	seemed	funny	reading	brothers	usually	wonderful	f	itself	albums	share	dancing	needed	tomorrow	key	bed	understand	fresh	fans	wall	asked	aren	built	alive	lead	l	tried	popular	saturday	electric	heads	seeing	bright	large	happened	mountain	noise	company	august	wrote	joy	wind	theme	throughout	create	previous	awesome	themselves	classic	nights	lights	starts	bear	brown	english	june	wants	festival	hits	flying	perhaps	recent	lady	towards	himself	weird	september	important	public	add	birthday	changed	closer	fit	huge	poor	meet	father	hair	quickly	solo	g	current	sex	smith	tree	brought	meant	photo	happen	stories	copy	college	van	building	clean	quick	internet	george	parts	seven	leaving	fair	sister	fight	robert	shit	spend	greatest	added	magic	ghost	truly	jack	dreams	holding	heaven	plays	pay	crowd	bottom	learn	problem	april	date	kept	ep	audience	continue	ends	ain	floor	thoughts	station	human	tune	certain	business	collection	longer	review	various	golden	despite	question	action	plan	animal	totally	giving	food	reasons	system	peter	february	snow	brother	july	debut	season	pieces	lucky	catch	nature	scott	ended	camera	fuck	hill	million	acoustic	co	december	hall	buy	memories	worked	voices	usual	features	members	christmas	v	smile	indie	lack	non	using	fantastic	round	october	spirit	letter	keeping	missed	link	secret	putting	enjoyed	studio	steve	total	older	gives	billy	falling	eventually	amount	definitely	soft	driving	serious	simply	era	met	entire	joe	imagine	liked	ice	streets	inspired	concert	tired	beauty	color	speak	jones	women	pure	choice	series	november	jam	america	michael	likely	nobody	setting	peace	folk	cry	difficult	possibly	section	w	doubt	grow	drums	island	material	names	cross	south	certainly	picked	mid	underground	mike	normal	queen	hoping	seriously	paper	drop	grand	although	afternoon	miles	hopefully	figure	surprise	cd	moments	ok	general	matt	lonely	hotel	whether	slightly	area	edge	pass	land	process	safe	easily	vocals	pictures	north	leaves	holiday	press	weather	spot	bird	led	anymore	fell	example	vs	lee	nowhere	guitars	covers	ray	particular	calling	hi	similar	store	nick	rare	wine	drum	minor	recorded	string	brain	sign	featured	nearly	recording	biggest	onto	expect	wanna	hop	tears	richard	everybody	mention	service	learned	tiny	among	happens	female	level	featuring	mood	information	standing	ground	bass	pre	breaking	damn	perfectly	opportunity	apparently	weren	drugs	brian	brings	coast	rough	event	arms	lake	burning	brand	size	highly	books	empty	beats	jazz	rose	ball	ii	several	except	orange	table	interview	january	answer	regular	ideas	surprised	east	rolling	odd	included	career	began	trouble	begin	smart	ryan	interest	somehow	sitting	absolutely	planet	incredible	points	growing	bunch	natural	eat	chris	glad	glass	society	california	hearts	dirty	mouth	production	label	excellent	ocean	fourth	period	hurt	kiss	attack	burn	dropped	member	support	uk	frank	rhythm	obvious	hearing	focus	sonic	garage	honest	movement	build	hip	became	dave	followed	hang	promise	image	turning	site	cannot	los	managed	finished	finding
Flatbasset	21	35	27	6	7	25	39	7	6	4	16	9	15	7	4	3	10	4	17	81	1	22	13	27	16	1	13	6	5	10	32	61	11	6	3	4	22	4	23	7	2	4	15	4	30	3	19	10	16	19	14	12	10	2	13	11	7	0	7	11	129	6	1	1	6	3	4	15	2	121	9	1	14	23	2	29	4	5	7	2	15	3	30	5	8	5	6	8	4	12	14	19	2	4	14	12	75	6	6	26	2	17	7	7	9	10	21	8	4	17	14	14	3	9	2	11	1	10	4	5	9	4	5	8	7	11	3	5	4	4	6	40	5	92	4	3	6	4	13	10	4	3	8	9	19	8	8	7	50	4	6	8	9	4	5	9	1	17	22	16	3	10	9	3	9	13	6	5	1100	2	6	1	3	21	20	9	7	92	8	7	9	7	3	26	6	47	2	14	14	11	13	14	19	10	17	8	2	4	14	7	64	18	9	5	0	25	3	7	12	32	13	4	5	2	7	8	2	5	7	3	2	12	21	6	20	8	2	5	7	7	14	5	17	2	1	54	17	11	8	13	5	8	9	2	9	2	36	10	11	9	6	2	2	7	12	8	7	11	12	31	8	4	8	11	10	0	6	4	21	1	2	8	4	4	8	7	3	1	11	6	4	0	3	12	21	15	1	14	19	0	20	13	4	11	3	14	78	7	6	26	3	3	15	1	5	25	14	9	11	53	1	17	9	6	9	8	9	1	0	0	11	8	8	3	13	9	2	2	8	4	35	4	5	9	12	21	6	5	7	84	10	9	17	3	14	7	11	5	4	5	6	19	6	6	5	50	7	12	3	7	3	5	3	37	3	1	9	9	28	2	21	3	3	23	8	3	7	3	5	56	1	4	63	1	4	6	4	4	4	3	4	3	13	11	3	12	27	4	6	8	11	20	0	8	9	1	16	9	8	0	4	15	9	10	2	15	1	3	42	11	1	6	5	11	3	3	4	2	26	9	4	30	15	8	2	3	3	19	10	5	5	9	25	7	10	2	13	37	4	4	8	6	5	5	10	2	3	5	3	11	5	10	12	15	22	4	5	3	0	9	1	6	2	8	41	0	4	14	6	6	7	6	13	8	9	11	55	6	3	5	4	15	8	6	6	1	3	3	4	10
mattgarman	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Riley Haas' blog	8	24	6	27	6	32	6	2	2	6	8	4	72	11	3	7	4	5	14	34	0	31	21	17	29	4	0	0	1	12	26	13	17	1	182	8	5	10	7	2	0	3	13	1	22	8	9	0	5	5	13	8	14	9	4	3	18	4	2	18	27	1	0	0	0	2	2	23	0	15	1	5	12	2	6	18	5	9	8	0	2	2	12	0	6	13	0	3	2	0	12	1	1	2	6	7	3	9	10	34	0	0	19	3	2	6	5	8	3	5	0	67	2	3	7	14	9	1	30	5	4	0	22	5	6	13	10	1	10	1	5	34	107	10	2	8	0	4	7	0	11	7	0	5	2	2	2	8	6	6	21	10	2	11	0	3	6	11	3	35	4	2	0	9	2	2	1	3	13	6	0	6	5	36	2	10	2	2	2	10	7	1	0	3	0	5	6	5	0	23	17	12	11	7	51	25	9	1	0	14	1	1	11	5	7	4	0	1	5	5	120	9	4	1	11	0	2	1	3	2	2	5	3	2	20	6	1	0	1	18	15	2	1	2	0	5	17	9	3	9	28	3	0	0	2	14	0	1	13	5	27	9	8	9	6	4	2	9	3	11	3	0	6	2	53	1	11	6	16	8	24	1	7	6	1	1	1	2	10	5	4	19	22	1	4	0	14	24	13	2	1	17	0	9	10	2	2	12	3	6	2	12	2	1	4	43	6	7	0	13	3	3	2	19	0	4	1	1	1	0	2	4	10	2	14	0	6	4	0	0	36	20	1	1	4	1	0	2	9	7	1	1	5	0	4	0	11	1	37	0	2	19	9	3	1	0	9	5	11	0	0	6	0	1	10	0	8	5	20	18	5	4	3	23	13	5	1	8	0	16	0	9	0	4	2	3	1	23	8	5	8	4	3	1	1	0	5	3	7	7	4	8	52	11	4	11	6	0	3	2	1	1	0	1	3	5	6	1	2	31	0	3	6	0	2	0	0	6	6	8	14	11	6	1	4	27	7	90	5	10	4	6	2	15	16	1	31	3	20	81	2	6	0	1	5	9	0	4	2	0	4	0	18	5	19	0	10	12	9	0	4	1	2	0	1	0	0	6	19	7	6	0	0	2	35	1	16	10	18	4	1	1	1	3	2	24	3	14	8	3
Party Full of Strangers	2	8	1	1	2	3	2	3	4	1	0	2	0	5	0	1	5	1	1	2	4	2	3	27	3	4	0	2	1	1	6	2	3	1	2	0	1	2	2	4	0	2	0	2	1	4	0	0	5	0	2	0	0	2	0	0	3	1	3	3	5	1	3	0	1	0	1	2	0	5	0	0	3	0	2	7	1	0	5	3	2	2	6	2	1	4	1	1	2	5	2	0	0	0	2	5	2	4	3	3	1	4	2	1	7	0	6	1	1	3	0	1	2	3	0	3	8	6	0	3	2	1	1	0	0	1	2	3	2	1	1	3	7	1	2	3	0	1	1	0	1	1	4	1	2	0	0	1	3	4	0	1	0	1	2	1	2	25	1	2	2	1	3	2	0	1	1	0	1	2	3	2	0	0	5	3	0	3	0	1	1	4	0	1	1	2	4	1	2	0	4	4	1	1	2	1	6	0	4	7	1	0	0	0	3	6	4	0	5	9	1	0	3	1	0	0	0	1	11	5	3	2	0	4	0	3	0	1	1	0	1	2	1	5	0	13	3	0	2	8	1	7	2	1	1	1	1	0	2	13	1	2	0	0	4	2	0	0	1	4	0	2	7	1	3	4	4	5	6	2	0	2	0	5	1	0	0	2	1	0	0	0	2	3	13	0	3	1	0	1	1	1	1	0	0	1	2	1	1	3	2	3	3	3	1	1	0	4	1	2	0	0	0	2	1	2	1	1	1	1	0	0	1	1	0	6	0	0	1	1	1	0	0	0	1	0	0	1	0	5	0	0	1	0	0	2	0	0	3	1	1	0	4	5	0	0	2	0	2	0	0	2	0	0	1	3	0	1	0	4	0	2	1	2	0	1	0	0	3	8	1	0	0	2	2	1	4	0	0	3	3	2	1	0	0	0	1	1	0	6	1	0	3	1	8	2	1	0	3	0	0	1	0	0	1	4	0	0	1	1	1	0	1	1	3	1	2	0	5	0	0	0	3	2	4	5	2	1	0	0	0	0	8	0	1	0	3	0	2	1	1	2	0	4	1	1	1	1	1	0	0	1	1	1	2	6	0	0	0	0	0	0	3	3	0	2	5	0	2	0	2	0	0	1	2	0	7	1	1	1	0	0	2	0	0	0	0	0	1	0
SEM REGRAS	0	0	0	0	0	0	0	0	0	9	8	3	1	1	2	0	0	2	0	0	3	0	0	0	0	0	2	2	17	1	0	0	0	0	1	3	2	1	2	1	2	0	0	2	0	3	5	8	0	0	0	0	0	2	0	7	0	0	0	1	0	0	5	0	1	0	2	0	0	0	10	0	0	0	3	0	13	0	0	1	11	4	0	1	0	0	2	13	0	0	0	8	1	0	0	0	0	0	0	0	2	8	0	0	5	3	7	6	0	0	1	0	0	1	1	0	0	9	0	7	1	0	2	4	0	0	2	0	1	1	0	0	11	3	11	15	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	9	1	2	0	0	0	0	1	14	0	4	9	2	6	9	0	0	3	0	0	1	0	0	0	0	0	8	2	4	4	8	8	0	2	0	0	0	0	0	3	0	0	0	0	1	0	0	0	2	0	9	0	0	1	0	0	0	1	1	0	0	1	0	4	1	1	2	0	0	4	2	0	1	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	4	9	0	0	1	13	0	0	0	0	2	0	0	0	5	0	0	0	8	0	0	0	6	0	0	5	0	0	4	2	0	0	2	2	4	2	2	0	1	2	0	1	0	1	0	0	2	0	0	1	4	0	0	2	0	1	0	0	0	0	11	4	4	0	0	0	7	1	2	4	0	0	13	1	1	0	2	1	0	1	0	0	0	0	1	0	11	9	0	0	0	4	0	3	0	3	0	0	10	1	0	3	1	7	0	1	0	1	3	0	1	6	3	2	0	2	0	0	0	0	0	0	0	3	1	1	0	0	1	0	0	0	0	0	0	0	5	0	19	3	2	0	5	0	0	1	1	0	0	0	3	0	2	0	1	0	2	0	1	0	0	0	2	2	0	0	0	0	0	4	0	1	0	0	0	4	1	0	8	1	2	0	0	3	0	0	0	1	0	0	0	0	1	0	0	1	0	3	0	0	0	0	0	0	0	2	0	0	0	0	1	1	2	2	7	2	0	10	4	1	0	0	0	5	0	0	2	9	1	4	1	0	0	1	1	0	0	0	1	10	0	0	9	0	2	0	0	0	2	2	4	0	0	0	3	0	0	0
Pithy Title Here	12	30	11	8	15	8	12	14	23	5	3	3	15	18	26	7	7	19	8	18	8	27	3	24	14	9	18	16	2	4	4	17	5	12	1	30	7	52	7	8	6	7	10	9	50	9	43	6	13	17	15	20	15	16	18	3	13	15	2	20	47	20	4	21	14	18	6	16	11	37	16	18	32	18	9	17	1	12	4	5	3	4	26	3	9	30	24	19	16	7	7	2	3	12	19	6	15	11	16	14	4	12	15	11	3	5	3	23	9	13	6	21	17	16	0	8	7	6	10	16	12	4	17	9	15	15	7	10	3	1	16	2	4	13	5	1	7	8	14	5	31	7	1	26	0	20	5	11	26	0	10	7	7	14	4	14	2	5	24	2	5	6	5	13	19	1	6	6	10	37	21	12	8	23	1	5	10	3	14	5	4	0	9	8	13	5	22	9	38	8	17	5	3	0	30	18	8	24	6	9	20	46	25	33	0	1	9	3	6	8	47	7	5	10	7	0	10	1	3	4	15	4	1	2	5	19	1	14	2	8	3	10	77	4	3	20	9	8	18	23	5	3	2	2	5	20	5	3	22	5	5	1	7	4	7	2	0	1	12	9	7	27	6	53	11	9	14	6	33	4	3	8	2	9	2	4	2	9	5	5	6	19	12	0	17	24	5	45	1	4	8	1	3	5	16	5	0	14	5	2	2	13	4	4	25	30	7	4	1	1	21	7	6	20	10	7	9	1	5	32	9	14	14	4	23	24	8	10	0	14	9	4	43	4	24	14	13	14	21	5	5	18	12	26	5	17	21	2	9	16	5	16	5	1	3	7	5	3	6	6	3	9	14	0	10	1	5	7	3	2	5	15	4	40	1	9	12	9	0	10	3	2	4	2	38	11	2	14	13	1	21	5	8	9	11	15	2	3	5	16	3	5	32	20	8	0	16	23	1	13	5	29	6	6	13	6	15	4	6	3	0	20	3	30	22	1	6	3	3	6	4	8	9	28	15	12	9	3	5	16	15	13	1	8	11	23	28	3	8	17	5	12	8	36	3	6	4	7	10	0	5	8	5	1	7	2	4	3	6	4	12	15	3	8	16	0	2	1	3	16	5	1	2	13	4	13	7	1	4	12	9	5	2	14	18	73	9	14	2	11
MTJR RANTS & RAVES ON MUSIC	41	28	33	10	18	5	19	9	28	16	16	18	57	13	6	13	79	7	25	22	3	7	13	7	33	18	33	4	35	29	94	40	16	10	53	16	28	7	23	14	7	2	6	12	7	46	12	41	15	11	36	9	8	3	9	46	9	9	25	31	149	6	10	7	40	19	10	7	21	52	16	7	2	18	17	50	39	4	7	7	45	23	5	37	8	11	30	51	10	36	16	31	12	313	27	33	35	13	18	64	16	25	2	31	9	21	75	8	26	28	12	17	20	7	11	22	16	50	10	23	8	5	8	15	6	12	5	11	18	9	18	115	12	19	12	42	11	20	8	3	5	19	9	3	41	11	8	3	2	5	23	28	16	11	17	7	48	7	2	20	12	46	51	28	30	43	4	40	12	2	10	169	6	2	68	41	14	752	11	12	11	10	33	10	5	30	14	3	10	135	10	6	174	65	11	7	13	15	25	12	6	4	9	9	49	57	14	13	63	210	12	25	5	2	28	37	7	16	14	10	5	55	42	32	19	1	18	18	62	6	87	62	1	18	5	41	4	14	23	19	10	73	31	9	6	4	3	28	7	6	159	64	22	4	8	37	11	13	7	10	31	16	3	18	36	15	14	29	3	51	11	7	43	14	5	32	17	4	23	3	40	8	54	58	31	24	40	2	18	12	29	65	16	5	4	15	143	14	7	78	27	49	15	7	16	14	4	12	34	35	199	5	3	1	9	17	13	11	6	19	2	5	9	517	23	4	11	50	17	8	9	6	7	20	4	36	23	7	8	97	3	28	6	4	18	8	7	23	26	3	6	12	10	34	13	55	34	22	53	11	3	10	11	37	27	25	30	311	183	42	9	7	16	16	119	8	8	8	5	11	13	18	14	21	6	4	14	15	6	11	16	69	19	4	13	13	88	8	3	2	15	6	2	24	12	30	19	25	7	14	4	27	12	29	457	19	5	7	17	25	29	5	33	23	0	14	311	1	81	8	7	25	6	15	18	4	17	26	43	16	12	4	24	10	8	8	3	21	11	7	22	3	20	8	71	4	16	12	27	28	27	9	41	64	22	26	25	22	6	9	14	10	4	28	13	37	12	26	7	3	27	84	16	11	15	8	12	33	34	21	7	4	14	16	3	11	36	5	14	12
MARISOL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
THE HUB	1	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	25	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	2	2	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	2	1	0	0	5	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	3	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	9	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	6	0	0	0	0	0	1	0	0	2	0	0	4	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Brian's Music Blog!!!	4	2	3	1	2	2	1	2	0	1	0	1	0	0	1	1	2	0	1	2	0	0	0	0	1	3	0	0	6	3	6	0	4	0	0	0	0	0	0	1	1	0	1	5	1	0	0	2	0	0	0	1	0	0	1	1	0	5	2	1	15	1	0	1	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	3	0	1	0	1	0	1	0	2	1	0	12	1	2	0	1	0	2	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	1	2	0	7	1	0	0	0	0	1	0	1	0	2	0	0	0	2	0	1	1	3	0	0	0	1	2	0	0	1	0	0	0	1	0	0	0	0	0	2	0	3	1	0	0	2	0	0	1	0	0	0	0	1	0	0	2	1	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	2	0	0	1	0	0	0	8	0	3	0	3	0	0	1	0	0	0	6	0	1	1	0	0	0	0	0	0	0	1	0	3	1	0	0	0	0	0	0	1	0	2	1	0	2	0	0	1	1	1	0	0	1	0	0	0	8	3	1	1	0	0	3	0	1	3	1	0	2	1	2	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	1	0	1	2	0	2	1	0	0	1	1	0	4	1	0	1	0	0	0	3	0	0	0	0	0	0	0	1	1	0	1	3	0	0	2	0	0	0	0	1	1	0	0	2	0	3	0	1	0	0	0	0	0	0	0	1	0	0	1	10	0	0	1	0	2	0	0	0	0	1	0	0	3	1	0	7	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	4	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	4	1	1	0	1	0	0	1	0	4	0	0	0	0	1	0	1	0	0	1	0	1	1	0	2	0	1	0	0	3	0	0	1	0	0	1	0	1	0	0	0	2	0	1	2	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0
